Date,Open,High,Low,Close,Volume,nasdaq,exchange,Semiconductor,foreign,institution,KOSPI,Korea_bond_10year
2016-01-04,1205000.0,1260000.0,1260000.0,1205000.0,305310.0,4903.09,1175.66,656.28,-56273.0,-61874.0,1918.76,2.035
2016-01-05,1208000.0,1202000.0,1218000.0,1186000.0,208450.0,4891.43,1190.35,649.47,-14965.0,-27047.0,1930.53,2.062
2016-01-06,1175000.0,1208000.0,1208000.0,1168000.0,360330.0,4835.77,1190.81,631.2,-21984.0,-67968.0,1925.43,2.037
2016-01-07,1163000.0,1166000.0,1183000.0,1151000.0,268930.0,4689.43,1200.52,610.25,-13307.0,-58060.0,1904.33,2.019
2016-01-08,1171000.0,1163000.0,1186000.0,1163000.0,244550.0,4643.63,1197.29,600.48,15806.0,-47699.0,1917.62,2.057
2016-01-11,1152000.0,1156000.0,1166000.0,1146000.0,240130.0,4637.99,1207.94,603.55,27198.0,-67620.0,1894.84,2.021
2016-01-12,1146000.0,1148000.0,1166000.0,1144000.0,185020.0,4685.92,1204.63,608.56,-11452.0,-39611.0,1890.86,2.046
2016-01-13,1148000.0,1153000.0,1159000.0,1148000.0,143130.0,4526.06,1210.4,589.48,8410.0,-12871.0,1916.28,2.023
2016-01-14,1138000.0,1131000.0,1142000.0,1131000.0,207870.0,4615.0,1210.24,601.57,16442.0,-32252.0,1900.01,2.028
2016-01-15,1132000.0,1140000.0,1152000.0,1124000.0,208770.0,4488.42,1207.73,574.29,1349.0,-9288.0,1878.87,2.023
2016-01-19,1171000.0,1128000.0,1171000.0,1128000.0,205970.0,4476.95,1211.72,575.18,-19997.0,45854.0,1889.64,2.068
2016-01-20,1138000.0,1160000.0,1160000.0,1132000.0,165950.0,4471.69,1207.39,578.94,7863.0,-26311.0,1845.45,2.01
2016-01-21,1131000.0,1133000.0,1155000.0,1125000.0,182050.0,4472.06,1208.43,587.56,51690.0,-56029.0,1840.53,1.994
2016-01-22,1168000.0,1145000.0,1168000.0,1145000.0,147350.0,4591.18,1204.2,598.42,40537.0,-19407.0,1879.43,2.041
2016-01-25,1162000.0,1172000.0,1176000.0,1156000.0,159810.0,4518.49,1197.7,589.81,30938.0,-40272.0,1893.43,2.019
2016-01-26,1137000.0,1155000.0,1157000.0,1136000.0,152000.0,4567.67,1199.7,595.86,2030.0,-18222.0,1871.69,1.99
2016-01-27,1175000.0,1126000.0,1175000.0,1126000.0,273980.0,4468.17,1198.32,588.68,38118.0,-26473.0,1897.87,2.011
2016-01-28,1145000.0,1164000.0,1168000.0,1139000.0,315230.0,4506.68,1208.82,586.85,-81545.0,27149.0,1906.94,2.015
2016-01-29,1150000.0,1140000.0,1150000.0,1116000.0,426910.0,4613.95,1207.73,613.68,-18445.0,-26832.0,1912.06,1.98
2016-02-01,1163000.0,1152000.0,1163000.0,1151000.0,258390.0,4620.37,1208.11,616.6,-60256.0,56285.0,1924.82,1.922
2016-02-02,1156000.0,1161000.0,1166000.0,1147000.0,165560.0,4516.95,1202.79,595.7,-27279.0,1336.0,1906.6,1.9240000000000002
2016-02-03,1146000.0,1150000.0,1152000.0,1137000.0,174420.0,4504.24,1212.84,597.11,-31740.0,-11540.0,1890.67,1.865
2016-02-04,1156000.0,1150000.0,1161000.0,1148000.0,236550.0,4509.56,1201.14,607.72,283.0,-13716.0,1916.26,1.871
2016-02-05,1164000.0,1156000.0,1169000.0,1156000.0,183850.0,4363.14,1191.94,586.25,-20251.0,13965.0,1917.79,1.88
2016-02-11,1130000.0,1118000.0,1137000.0,1118000.0,305000.0,4266.84,1188.69,559.18,6897.0,-71968.0,1861.54,1.764
2016-02-12,1130000.0,1130000.0,1151000.0,1122000.0,254580.0,4337.51,1200.65,571.9,38415.0,-55792.0,1835.28,1.811
2016-02-16,1168000.0,1158000.0,1179000.0,1157000.0,179960.0,4435.95,1214.39,591.93,-15244.0,-6611.0,1888.3,1.78
2016-02-17,1185000.0,1179000.0,1201000.0,1169000.0,246020.0,4534.06,1219.26,606.05,4489.0,-18673.0,1883.94,1.787
2016-02-18,1187000.0,1203000.0,1203000.0,1178000.0,212320.0,4487.54,1224.25,602.52,15128.0,-61315.0,1908.84,1.804
2016-02-19,1190000.0,1187000.0,1195000.0,1174000.0,176000.0,4504.43,1228.59,605.46,-27990.0,-15732.0,1916.24,1.811
2016-02-22,1175000.0,1190000.0,1192000.0,1166000.0,174500.0,4570.61,1234.4,615.0,-33032.0,-23118.0,1916.36,1.827
2016-02-23,1181000.0,1179000.0,1189000.0,1173000.0,147650.0,4503.58,1224.09,604.87,-27469.0,-16432.0,1914.22,1.834
2016-02-24,1172000.0,1178000.0,1179000.0,1161000.0,140420.0,4542.61,1232.04,613.34,-17166.0,-35002.0,1912.53,1.817
2016-02-25,1179000.0,1172000.0,1187000.0,1172000.0,128500.0,4582.2,1233.01,621.07,-3914.0,-35234.0,1918.57,1.811
2016-02-26,1172000.0,1180000.0,1187000.0,1172000.0,177290.0,4590.47,1234.89,624.65,-40950.0,-11049.0,1920.16,1.78
2016-02-29,1178000.0,1179000.0,1194000.0,1176000.0,274720.0,4557.95,1243.5,622.11,-58728.0,26998.0,1916.66,1.786
2016-03-02,1197000.0,1200000.0,1207000.0,1196000.0,236320.0,4703.42,1229.39,643.31,-27888.0,20476.0,1947.42,1.8259999999999998
2016-03-03,1220000.0,1213000.0,1220000.0,1202000.0,214520.0,4707.42,1224.69,643.89,-56337.0,40891.0,1958.17,1.8619999999999999
2016-03-04,1215000.0,1220000.0,1228000.0,1202000.0,197050.0,4717.02,1211.57,650.62,-23861.0,-1472.0,1955.63,1.8869999999999998
