"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 09월 08일","6,360.19","6,389.65","6,391.41","6,354.96","408.11M","-0.59%"
"2017년 09월 07일","6,397.87","6,402.94","6,413.07","6,379.81","433.05M","0.07%"
"2017년 09월 06일","6,393.31","6,394.35","6,407.40","6,356.20","419.28M","0.28%"
"2017년 09월 05일","6,375.57","6,414.82","6,426.51","6,334.59","438.96M","-0.93%"
"2017년 09월 01일","6,435.33","6,442.17","6,449.65","6,417.87","347.64M","0.10%"
"2017년 08월 31일","6,428.66","6,385.80","6,435.27","6,383.58","478.19M","0.95%"
"2017년 08월 30일","6,368.31","6,308.68","6,374.48","6,303.57","384.51M","1.05%"
"2017년 08월 29일","6,301.89","6,228.90","6,311.26","6,228.73","379.62M","0.30%"
"2017년 08월 28일","6,283.02","6,286.01","6,292.26","6,267.85","384.99M","0.28%"
"2017년 08월 25일","6,265.64","6,293.81","6,308.72","6,257.10","343.10M","-0.09%"
"2017년 08월 24일","6,271.33","6,294.82","6,302.85","6,244.57","369.11M","-0.11%"
"2017년 08월 23일","6,278.41","6,263.47","6,291.30","6,263.28","349.56M","-0.30%"
"2017년 08월 22일","6,297.48","6,241.21","6,302.84","6,241.21","363.16M","1.36%"
"2017년 08월 21일","6,213.13","6,216.32","6,226.93","6,177.19","375.22M","-0.05%"
"2017년 08월 18일","6,216.53","6,222.46","6,254.22","6,193.38","469.44M","-0.09%"
"2017년 08월 17일","6,221.91","6,322.72","6,334.23","6,221.91","435.27M","-1.94%"
"2017년 08월 16일","6,345.11","6,348.11","6,374.56","6,330.27","396.20M","0.19%"
"2017년 08월 15일","6,333.01","6,350.51","6,350.74","6,324.75","368.07M","-0.11%"
"2017년 08월 14일","6,340.23","6,306.11","6,346.82","6,305.55","410.78M","1.34%"
"2017년 08월 11일","6,256.56","6,222.18","6,266.89","6,216.19","418.07M","0.64%"
"2017년 08월 10일","6,216.87","6,312.65","6,318.28","6,214.41","495.54M","-2.13%"
"2017년 08월 09일","6,352.33","6,322.92","6,355.04","6,309.44","469.74M","-0.28%"
"2017년 08월 08일","6,370.46","6,373.33","6,423.35","6,355.88","445.32M","-0.21%"
"2017년 08월 07일","6,383.77","6,361.06","6,386.03","6,356.23","408.69M","0.51%"
"2017년 08월 04일","6,351.56","6,350.79","6,361.49","6,329.73","443.76M","0.18%"
"2017년 08월 03일","6,340.34","6,366.24","6,368.53","6,331.14","476.05M","-0.35%"
"2017년 08월 02일","6,362.65","6,393.10","6,394.21","6,313.43","490.37M","-0.00%"
"2017년 08월 01일","6,362.94","6,372.16","6,375.75","6,345.75","426.55M","0.23%"
"2017년 07월 31일","6,348.12","6,394.69","6,396.59","6,338.78","485.92M","-0.42%"
"2017년 07월 28일","6,374.68","6,350.27","6,379.70","6,337.23","436.77M","-0.12%"
"2017년 07월 27일","6,382.19","6,459.76","6,460.84","6,318.62","564.93M","-0.63%"
"2017년 07월 26일","6,422.75","6,425.93","6,432.38","6,416.30","433.53M","0.16%"
"2017년 07월 25일","6,412.17","6,407.59","6,425.45","6,396.87","479.54M","0.02%"
"2017년 07월 24일","6,410.81","6,387.82","6,417.70","6,380.61","418.95M","0.36%"
"2017년 07월 21일","6,387.75","6,383.05","6,388.78","6,365.11","468.14M","-0.04%"
"2017년 07월 20일","6,390.00","6,396.46","6,398.26","6,365.68","414.71M","0.08%"
"2017년 07월 19일","6,385.04","6,363.24","6,387.73","6,362.19","423.94M","0.64%"
"2017년 07월 18일","6,344.31","6,304.82","6,344.55","6,291.07","388.97M","0.47%"
"2017년 07월 17일","6,314.43","6,320.35","6,330.97","6,307.34","367.32M","0.03%"
"2017년 07월 14일","6,312.47","6,289.08","6,321.76","6,278.70","364.80M","0.61%"
"2017년 07월 13일","6,274.44","6,269.10","6,281.45","6,251.26","423.33M","0.21%"
"2017년 07월 12일","6,261.17","6,238.90","6,265.64","6,236.82","424.25M","1.10%"
"2017년 07월 11일","6,193.31","6,171.25","6,200.58","6,149.87","426.66M","0.27%"
"2017년 07월 10일","6,176.39","6,156.03","6,191.27","6,141.83","409.75M","0.38%"
"2017년 07월 07일","6,153.08","6,111.21","6,164.94","6,111.21","397.25M","1.04%"
"2017년 07월 06일","6,089.46","6,109.60","6,127.98","6,081.96","514.78M","-1.00%"
"2017년 07월 05일","6,150.85","6,122.06","6,163.62","6,100.42","462.92M","0.67%"
"2017년 07월 03일","6,110.06","6,173.29","6,177.36","6,106.12","272.19M","-0.49%"
"2017년 06월 30일","6,140.42","6,166.84","6,170.63","6,129.04","501.47M","-0.06%"
"2017년 06월 29일","6,144.35","6,215.49","6,216.60","6,087.81","528.05M","-1.44%"
"2017년 06월 28일","6,234.41","6,173.10","6,238.29","6,144.80","461.44M","1.43%"
"2017년 06월 27일","6,146.62","6,227.90","6,234.32","6,146.62","490.36M","-1.61%"
"2017년 06월 26일","6,247.15","6,292.73","6,303.44","6,233.43","455.73M","-0.29%"
"2017년 06월 23일","6,265.25","6,234.35","6,269.37","6,218.78","1.46B","0.46%"
"2017년 06월 22일","6,236.69","6,239.15","6,257.68","6,221.96","471.36M","0.04%"
"2017년 06월 21일","6,233.95","6,202.75","6,236.66","6,200.86","491.84M","0.74%"
"2017년 06월 20일","6,188.03","6,229.62","6,234.01","6,186.94","488.69M","-0.82%"
"2017년 06월 19일","6,239.01","6,196.85","6,243.31","6,194.00","447.66M","1.42%"
"2017년 06월 16일","6,151.76","6,154.28","6,161.56","6,125.50","1.31B","-0.22%"
"2017년 06월 15일","6,165.50","6,127.05","6,170.15","6,107.85","436.59M","-0.47%"
"2017년 06월 14일","6,194.89","6,237.46","6,237.53","6,153.55","457.03M","-0.41%"
"2017년 06월 13일","6,220.37","6,206.11","6,226.41","6,180.04","525.01M","0.73%"
"2017년 06월 12일","6,175.47","6,153.56","6,183.81","6,110.66","604.27M","-0.52%"
"2017년 06월 09일","6,207.92","6,330.25","6,341.70","6,137.68","670.48M","-1.80%"
"2017년 06월 08일","6,321.76","6,311.73","6,324.06","6,282.93","484.13M","0.39%"
"2017년 06월 07일","6,297.38","6,290.44","6,302.78","6,267.18","432.54M","0.36%"
"2017년 06월 06일","6,275.06","6,281.88","6,304.21","6,269.86","430.50M","-0.33%"
"2017년 06월 05일","6,295.68","6,305.47","6,310.61","6,292.15","398.25M","-0.16%"
"2017년 06월 02일","6,305.80","6,261.59","6,308.76","6,253.77","454.57M","0.94%"
