Date,Open,High,Low,Close,Volume,Change
2018-01-02,51380,51400,50780,51020,169485,0.0011773940345369827
2018-01-03,52540,52560,51420,51620,200270,0.011760094080752737
2018-01-04,52120,52180,50640,51080,233909,-0.010461061604029487
2018-01-05,51300,52120,51200,52120,189623,0.02036021926389986
2018-01-08,52400,52520,51500,52020,167673,-0.0019186492709132308
2018-01-09,51460,51720,49980,50400,360272,-0.03114186851211076
2018-01-10,50500,50520,48640,48840,371336,-0.030952380952380953
2018-01-11,48200,49260,48020,48240,502476,-0.012285012285012331
2018-01-12,48240,48480,46760,48200,545409,-0.0008291873963516272
2018-01-15,48800,48980,47920,48540,201920,0.007053941908713668
2018-01-16,48760,50140,48620,50000,407793,0.030078285949732164
2018-01-17,50020,50020,49060,49620,221061,-0.007600000000000051
2018-01-18,50020,50640,49820,49900,296977,0.005642885933091479
2018-01-19,50380,50380,49040,49320,184399,-0.011623246492985961
2018-01-22,48640,48680,47960,48240,250418,-0.021897810218978075
2018-01-23,48660,49160,48300,49160,270654,0.019071310116086204
2018-01-24,48860,49700,48560,49340,191010,0.003661513425549323
2018-01-25,49220,50360,49160,50260,223207,0.01864612890149986
2018-01-26,50500,50780,49840,50780,207002,0.010346199761241515
2018-01-29,51200,51480,50900,51220,236776,0.008664828672705793
2018-01-30,50440,50640,49780,49800,245691,-0.027723545490042967
2018-01-31,50020,54140,49600,49900,1293626,0.002008032128514081
2018-02-01,50620,50960,49720,49820,552189,-0.0016032064128256307
2018-02-02,49380,49400,47700,47700,585207,-0.04255319148936165
2018-02-05,46500,48320,46000,47920,567158,0.004612159329140386
2018-02-06,46600,47920,46580,47420,388129,-0.01043405676126874
2018-02-07,48240,48260,45800,45800,468961,-0.03416280050611553
2018-02-08,46120,46620,45980,46000,465021,0.004366812227074135
2018-02-09,44440,45180,44420,44700,349300,-0.02826086956521734
2018-02-12,45100,46320,45040,45720,315099,0.02281879194630876
2018-02-13,46200,48060,46200,47540,378465,0.039807524059492616
2018-02-14,48080,49100,47940,49000,378118,0.03071098022717722
2018-02-19,49800,49800,47860,48380,307069,-0.012653061224489837
2018-02-20,48040,48160,47220,47400,202452,-0.02025630425795788
2018-02-21,47280,47580,46840,47280,257604,-0.0025316455696202667
2018-02-22,47260,47260,46760,46760,177399,-0.010998307952622688
2018-02-23,46760,47800,46760,47220,248466,0.009837467921300247
2018-02-26,47280,47560,47080,47380,191213,0.0033883947479882437
2018-02-27,48360,48380,47380,47380,196611,0.0
2018-02-28,47380,48100,47000,47060,303247,-0.006753904601097482
2018-03-02,46580,46800,46000,46020,265310,-0.02209944751381221
2018-03-05,45820,46160,45080,45200,282019,-0.01781833985223813
2018-03-06,45920,47100,45820,47020,308467,0.04026548672566377
2018-03-07,48200,48900,47220,48620,428541,0.034028073160357275
2018-03-08,49200,49480,48080,49200,389273,0.01192924722336497
2018-03-09,49440,50540,49240,49740,286088,0.01097560975609757
2018-03-12,50560,50780,49580,49740,173779,0.0
2018-03-13,50760,51660,50360,51660,401974,0.0386007237635706
2018-03-14,51020,52000,51000,51760,254265,0.0019357336430507743
2018-03-15,52000,52020,51020,51540,177649,-0.004250386398763517
2018-03-16,51220,51420,50240,51140,243698,-0.007760962359332546
2018-03-19,50620,51340,50440,50740,164377,-0.007821666014861117
2018-03-20,50700,51200,50100,51200,163865,0.009065825778478587
2018-03-21,51780,51780,51060,51060,178104,-0.0027343749999999556
2018-03-22,51060,51780,51040,51780,169082,0.014101057579318343
2018-03-23,50340,50720,49600,49720,297099,-0.0397837002703747
2018-03-26,49420,50280,49040,50280,201155,0.011263073209975882
2018-03-27,50320,50460,49080,49980,237480,-0.005966587112171795
2018-03-28,49100,49100,48340,48700,303189,-0.025610244097639012
2018-03-29,48700,49560,48320,49040,201340,0.006981519507186951
2018-03-30,49080,49900,49080,49220,155542,0.0036704730831973453
2018-04-02,49000,49220,48500,48540,142313,-0.013815522145469328
2018-04-03,47880,48140,47280,48120,255365,-0.008652657601977753
2018-04-04,48160,48260,46920,46920,247684,-0.02493765586034913
2018-04-05,47400,49380,47340,48740,264912,0.038789428815004356
2018-04-06,48000,48580,47400,48400,250654,-0.006975789905621643
2018-04-09,48260,49440,48200,49200,199008,0.016528925619834656
2018-04-10,48540,49220,48040,48880,219687,-0.006504065040650375
2018-04-11,49900,49900,48600,48860,201022,-0.00040916530278234386
2018-04-12,49440,49440,48880,49000,249325,0.002865329512893977
2018-04-13,49600,50180,49400,49800,205566,0.01632653061224487
2018-04-16,50320,50600,49860,50340,157549,0.010843373493975905
2018-04-17,50240,50540,49820,49980,155440,-0.007151370679380209
2018-04-18,51000,51360,50580,51360,269252,0.027611044417767072
2018-04-19,52000,52980,51540,52780,343811,0.027647975077881526
2018-04-20,51800,52260,51420,51620,235220,-0.02197802197802201
2018-04-23,51000,52080,51000,51900,232380,0.005424254165052211
2018-04-24,51840,51860,50080,50460,315406,-0.02774566473988438
2018-04-25,49220,50500,49220,50400,332292,-0.0011890606420927874
2018-04-26,50420,52160,50400,52140,360931,0.03452380952380962
2018-04-27,53380,53639,52440,53000,606216,0.016494054468737973
2018-04-30,0,0,0,53000,0,0.0
2018-05-02,0,0,0,53000,0,0.0
2018-05-03,0,0,0,53000,0,0.0
2018-05-04,53000,53900,51800,51900,39565391,-0.02075471698113207
2018-05-08,52600,53200,51900,52600,23104720,0.01348747591522148
2018-05-09,52600,52800,50900,50900,16128305,-0.03231939163498099
2018-05-10,51700,51700,50600,51600,13905263,0.013752455795677854
2018-05-11,52000,52200,51200,51300,10314997,-0.005813953488372103
2018-05-14,51000,51100,49900,50100,14909272,-0.023391812865497075
2018-05-15,50200,50400,49100,49200,18709146,-0.017964071856287456
2018-05-16,49200,50200,49150,49850,15918683,0.013211382113821113
2018-05-17,50300,50500,49400,49400,10365440,-0.009027081243731194
2018-05-18,49900,49900,49350,49500,6706570,0.002024291497975783
2018-05-21,49650,50200,49100,50000,9020998,0.010101010101010166
2018-05-23,50600,52000,50400,51800,17095490,0.03600000000000003
2018-05-24,52000,52000,51100,51400,8289275,-0.007722007722007707
2018-05-25,51000,52800,50800,52700,15207266,0.02529182879377423
2018-05-28,52500,53000,52000,52300,9787820,-0.007590132827324458
2018-05-29,52200,52500,51300,51300,8480437,-0.019120458891013437
2018-05-30,51300,51500,49100,49500,20498098,-0.03508771929824561
2018-05-31,50400,50800,49850,50700,63491109,0.024242424242424176
2018-06-01,50500,51700,49950,51300,13038499,0.01183431952662728
2018-06-04,50800,51200,50700,51100,9767171,-0.003898635477582846
2018-06-05,51100,51400,50400,51300,9144100,0.00391389432485334
2018-06-07,51800,51800,50500,50600,13590016,-0.013645224171540016
2018-06-08,50200,50400,49600,49650,16951706,-0.018774703557312256
2018-06-11,49750,50300,49350,49900,10571312,0.0050352467270895485
2018-06-12,49700,49800,49250,49400,12110569,-0.01002004008016033
2018-06-14,49000,49000,48200,48200,20971729,-0.02429149797570851
2018-06-15,48500,48700,47650,47650,17080892,-0.011410788381742698
2018-06-18,47600,47650,46200,46600,16661870,-0.022035676810073457
2018-06-19,47200,47350,46500,47000,15217971,0.008583690987124415
2018-06-20,47450,47600,46850,47000,12959316,0.0
2018-06-21,47900,47900,47050,47050,10015541,0.0010638297872340718
2018-06-22,47000,47250,46200,47250,10298006,0.004250797024442088
2018-06-25,47050,47050,46150,46650,10587711,-0.012698412698412653
