"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 06월 21일","1,982.70","1,977.80","1,983.87","1,971.99","557.44M","0.08%"
"2016년 06월 20일","1,981.12","1,974.43","1,984.07","1,969.56","391.34M","1.42%"
"2016년 06월 17일","1,953.40","1,966.23","1,970.54","1,949.60","485.27M","0.07%"
"2016년 06월 16일","1,951.99","1,971.53","1,974.01","1,944.80","438.79M","-0.86%"
"2016년 06월 15일","1,968.83","1,972.00","1,975.87","1,960.97","376.77M","-0.16%"
"2016년 06월 14일","1,972.03","1,976.80","1,982.32","1,965.34","439.94M","-0.36%"
"2016년 06월 13일","1,979.06","2,001.03","2,001.79","1,976.69","443.00M","-1.91%"
"2016년 06월 10일","2,017.63","2,022.77","2,022.77","2,014.15","404.30M","-0.32%"
"2016년 06월 09일","2,024.17","2,028.02","2,035.27","2,012.14","599.68M","-0.14%"
"2016년 06월 08일","2,027.08","2,013.72","2,027.09","2,008.59","497.94M","0.77%"
"2016년 06월 07일","2,011.63","1,993.08","2,011.67","1,992.77","481.35M","1.30%"
"2016년 06월 03일","1,985.84","1,991.58","1,991.58","1,979.66","540.86M","0.04%"
"2016년 06월 02일","1,985.11","1,983.86","1,988.00","1,978.82","474.23M","0.12%"
"2016년 06월 01일","1,982.72","1,976.87","1,986.76","1,975.82","502.29M","-0.03%"
"2016년 05월 31일","1,983.40","1,962.47","1,984.18","1,958.16","657.04M","0.83%"
"2016년 05월 30일","1,967.13","1,969.72","1,970.54","1,955.49","550.50M","-0.10%"
"2016년 05월 27일","1,969.17","1,962.33","1,971.27","1,959.75","523.53M","0.62%"
"2016년 05월 26일","1,957.06","1,965.81","1,967.45","1,955.97","558.26M","-0.18%"
"2016년 05월 25일","1,960.51","1,953.63","1,964.91","1,951.17","656.87M","1.18%"
"2016년 05월 24일","1,937.68","1,951.18","1,951.39","1,937.67","517.08M","-0.90%"
"2016년 05월 23일","1,955.25","1,954.26","1,956.77","1,940.44","399.51M","0.39%"
"2016년 05월 20일","1,947.67","1,943.84","1,951.50","1,940.36","388.05M","0.05%"
"2016년 05월 19일","1,946.78","1,953.91","1,954.29","1,942.48","505.92M","-0.51%"
"2016년 05월 18일","1,956.73","1,962.78","1,964.34","1,945.56","696.27M","-0.58%"
"2016년 05월 17일","1,968.06","1,973.86","1,975.10","1,962.57","597.58M","0.01%"
"2016년 05월 16일","1,967.91","1,961.91","1,970.53","1,961.32","526.72M","0.05%"
"2016년 05월 13일","1,966.99","1,979.97","1,980.45","1,962.77","509.12M","-0.53%"
