"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 03월 24일","20,704.91","19,722.19","20,737.70","19,649.25","808.47M","11.37%"
"2020년 03월 23일","18,591.93","19,028.36","19,121.01","18,213.65","801.24M","-3.04%"
"2020년 03월 20일","19,173.98","20,253.15","20,531.26","19,094.27","872.29M","-4.55%"
"2020년 03월 19일","20,087.19","19,830.01","20,442.63","19,177.13","795.80M","0.95%"
"2020년 03월 18일","19,898.92","20,188.69","20,489.33","18,917.46","874.09M","-6.30%"
"2020년 03월 17일","21,237.38","20,487.05","21,379.35","19,882.26","795.84M","5.20%"
"2020년 03월 16일","20,188.52","20,917.53","21,768.28","20,116.46","775.91M","-12.93%"
"2020년 03월 13일","23,185.62","21,973.82","23,189.76","21,285.37","843.08M","9.36%"
"2020년 03월 12일","21,200.62","22,184.71","22,837.95","21,154.46","911.77M","-9.99%"
"2020년 03월 11일","23,553.22","24,604.63","24,604.63","23,328.32","663.96M","-5.86%"
"2020년 03월 10일","25,018.16","24,453.00","25,020.99","23,690.34","654.86M","4.89%"
"2020년 03월 09일","23,851.02","24,992.36","24,992.36","23,706.07","750.43M","-7.79%"
"2020년 03월 06일","25,864.78","25,457.21","25,994.38","25,226.62","601.01M","-0.98%"
"2020년 03월 05일","26,121.28","26,671.92","26,671.92","25,943.33","477.37M","-3.58%"
"2020년 03월 04일","27,090.86","26,383.68","27,102.34","26,286.31","457.59M","4.53%"
"2020년 03월 03일","25,917.41","26,762.47","27,084.59","25,706.28","647.08M","-2.94%"
"2020년 03월 02일","26,703.32","25,590.51","26,706.17","25,391.96","637.20M","5.09%"
"2020년 02월 28일","25,409.36","25,270.83","25,494.24","24,681.01","922.68M","-1.39%"
"2020년 02월 27일","25,766.64","26,526.00","26,775.31","25,752.82","670.37M","-4.42%"
"2020년 02월 26일","26,957.59","27,159.46","27,542.78","26,890.97","477.57M","-0.46%"
"2020년 02월 25일","27,081.36","28,037.65","28,149.20","26,997.62","513.27M","-3.15%"
"2020년 02월 24일","27,960.80","28,402.93","28,402.93","27,912.44","458.71M","-3.56%"
"2020년 02월 21일","28,992.41","29,146.53","29,146.53","28,892.70","313.44M","-0.78%"
"2020년 02월 20일","29,219.98","29,296.25","29,368.45","28,959.65","289.07M","-0.44%"
"2020년 02월 19일","29,348.03","29,312.70","29,409.09","29,274.38","242.65M","0.40%"
"2020년 02월 18일","29,232.19","29,282.78","29,330.16","29,116.81","264.16M","-0.56%"
"2020년 02월 14일","29,398.08","29,440.47","29,463.04","29,283.18","232.55M","-0.09%"
"2020년 02월 13일","29,423.31","29,436.03","29,535.40","29,345.93","294.36M","-0.43%"
"2020년 02월 12일","29,551.42","29,406.75","29,568.57","29,406.75","309.53M","0.94%"
"2020년 02월 11일","29,276.34","29,390.71","29,415.39","29,210.47","281.85M","-0.00%"
"2020년 02월 10일","29,276.82","28,995.66","29,278.07","28,995.66","257.46M","0.60%"
"2020년 02월 07일","29,102.51","29,286.92","29,286.92","29,056.98","253.87M","-0.94%"
"2020년 02월 06일","29,379.77","29,388.58","29,408.05","29,246.93","263.70M","0.30%"
"2020년 02월 05일","29,290.85","29,048.73","29,308.89","29,000.85","357.54M","1.68%"
"2020년 02월 04일","28,807.63","28,696.74","28,904.88","28,696.74","332.75M","1.44%"
"2020년 02월 03일","28,399.81","28,319.65","28,630.39","28,319.65","315.50M","0.51%"
"2020년 01월 31일","28,256.03","28,813.04","28,813.04","28,169.53","403.89M","-2.09%"
"2020년 01월 30일","28,859.44","28,640.16","28,879.71","28,489.76","326.85M","0.43%"
"2020년 01월 29일","28,734.45","28,820.53","28,944.24","28,728.19","305.93M","0.04%"
"2020년 01월 28일","28,722.85","28,594.28","28,823.23","28,575.75","352.94M","0.66%"
"2020년 01월 27일","28,535.80","28,542.49","28,671.79","28,440.47","337.27M","-1.57%"
"2020년 01월 24일","28,989.73","29,230.39","29,288.79","28,843.31","380.01M","-0.58%"
"2020년 01월 23일","29,160.09","29,111.02","29,190.47","28,966.98","307.06M","-0.09%"
"2020년 01월 22일","29,186.27","29,263.63","29,320.20","29,172.26","283.44M","-0.03%"
"2020년 01월 21일","29,196.04","29,269.05","29,341.21","29,146.47","320.64M","-0.52%"
"2020년 01월 17일","29,348.10","29,313.31","29,373.62","29,289.91","336.87M","0.17%"
"2020년 01월 16일","29,297.64","29,131.95","29,300.32","29,131.95","252.11M","0.92%"
"2020년 01월 15일","29,030.22","28,901.80","29,127.59","28,897.35","263.43M","0.31%"
"2020년 01월 14일","28,939.67","28,895.50","29,054.16","28,872.27","296.04M","0.11%"
"2020년 01월 13일","28,907.05","28,869.01","28,909.91","28,819.43","263.02M","0.29%"
"2020년 01월 10일","28,823.77","28,977.52","29,009.07","28,789.10","239.17M","-0.46%"
"2020년 01월 09일","28,956.90","28,851.97","28,988.01","28,844.31","282.85M","0.74%"
"2020년 01월 08일","28,745.09","28,556.14","28,866.18","28,522.51","296.43M","0.56%"
"2020년 01월 07일","28,583.68","28,639.18","28,685.50","28,565.28","266.68M","-0.42%"
"2020년 01월 06일","28,703.38","28,465.50","28,708.02","28,418.63","261.81M","0.24%"
"2020년 01월 03일","28,634.88","28,553.33","28,716.31","28,500.36","239.59M","-0.81%"
"2020년 01월 02일","28,868.80","28,638.97","28,872.80","28,627.77","254.29M","1.16%"
"2019년 12월 31일","28,538.44","28,414.64","28,547.35","28,376.49","193.34M","0.27%"
"2019년 12월 30일","28,462.14","28,654.76","28,664.69","28,428.98","185.07M","-0.64%"
"2019년 12월 27일","28,645.26","28,675.34","28,701.66","28,608.98","184.93M","0.08%"
"2019년 12월 26일","28,621.39","28,539.46","28,624.10","28,535.15","155.97M","0.37%"
"2019년 12월 24일","28,515.45","28,572.57","28,576.80","28,503.21","95.29M","-0.13%"
"2019년 12월 23일","28,551.53","28,491.78","28,582.49","28,491.78","233.47M","0.34%"
"2019년 12월 20일","28,455.09","28,608.64","28,608.64","28,445.60","603.78M","0.28%"
"2019년 12월 19일","28,376.96","28,278.31","28,381.48","28,278.24","262.57M","0.49%"
"2019년 12월 18일","28,239.28","28,291.44","28,323.25","28,239.28","289.89M","-0.10%"
"2019년 12월 17일","28,267.16","28,221.75","28,328.63","28,220.56","286.77M","0.11%"
"2019년 12월 16일","28,235.89","28,191.67","28,337.49","28,191.67","286.77M","0.36%"
"2019년 12월 13일","28,135.38","28,123.64","28,290.73","28,028.32","254.81M","0.01%"
"2019년 12월 12일","28,132.05","27,898.34","28,224.95","27,859.87","277.74M","0.79%"
"2019년 12월 11일","27,911.30","27,867.31","27,925.50","27,801.80","221.70M","0.11%"
"2019년 12월 10일","27,881.72","27,900.65","27,949.02","27,804.00","215.81M","-0.10%"
"2019년 12월 09일","27,909.60","27,987.05","28,010.42","27,906.14","219.07M","-0.38%"
"2019년 12월 06일","28,015.06","27,839.68","28,035.85","27,839.68","224.83M","1.22%"
"2019년 12월 05일","27,677.79","27,736.05","27,745.20","27,562.80","219.99M","0.10%"
"2019년 12월 04일","27,649.78","27,634.63","27,727.45","27,612.08","218.20M","0.53%"
"2019년 12월 03일","27,502.81","27,501.98","27,524.74","27,325.13","275.35M","-1.01%"
