"날짜","종가","오픈","고가","저가","변동 %"
"2019년 09월 21일","1.322","1.322","1.322","1.322","-0.23%"
"2019년 09월 20일","1.325","1.325","1.325","1.325","0.84%"
"2019년 09월 19일","1.314","1.317","1.317","1.314","0.23%"
"2019년 09월 18일","1.311","1.312","1.312","1.311","0.00%"
"2019년 09월 16일","1.311","1.312","1.312","1.311","3.80%"
"2019년 09월 15일","1.263","1.263","1.263","1.263","0.00%"
"2019년 09월 14일","1.263","1.263","1.263","1.263","0.00%"
"2019년 09월 13일","1.263","1.263","1.263","1.263","0.00%"
"2019년 09월 12일","1.263","1.263","1.263","1.263","0.00%"
"2019년 09월 11일","1.263","1.262","1.263","1.262","0.64%"
"2019년 09월 10일","1.255","1.255","1.255","1.255","0.00%"
"2019년 09월 09일","1.255","1.220","1.255","1.211","4.32%"
"2019년 09월 08일","1.203","1.203","1.203","1.203","0.00%"
"2019년 09월 07일","1.203","1.203","1.203","1.203","0.00%"
"2019년 09월 06일","1.203","1.200","1.205","1.200","1.01%"
"2019년 09월 05일","1.191","1.195","1.195","1.191","4.93%"
"2019년 09월 04일","1.135","1.135","1.135","1.135","-2.66%"
"2019년 09월 03일","1.166","1.170","1.170","1.166","0.43%"
"2019년 09월 02일","1.161","1.165","1.165","1.161","0.96%"
"2019년 09월 01일","1.150","1.150","1.150","1.150","0.00%"
"2019년 08월 31일","1.150","1.150","1.150","1.150","0.00%"
"2019년 08월 30일","1.150","1.150","1.150","1.150","0.52%"
"2019년 08월 29일","1.144","1.140","1.146","1.140","-2.31%"
"2019년 08월 28일","1.171","1.171","1.171","1.171","4.09%"
"2019년 08월 27일","1.125","1.130","1.130","1.122","2.27%"
"2019년 08월 26일","1.100","1.100","1.100","1.100","-0.90%"
"2019년 08월 25일","1.110","1.110","1.110","1.110","0.00%"
"2019년 08월 24일","1.110","1.110","1.110","1.110","0.00%"
"2019년 08월 23일","1.110","1.110","1.110","1.110","0.00%"
"2019년 08월 22일","1.110","1.110","1.110","1.110","-0.54%"
"2019년 08월 21일","1.116","1.120","1.120","1.115","-0.09%"
"2019년 08월 20일","1.117","1.120","1.122","1.117","-0.36%"
"2019년 08월 19일","1.121","1.125","1.127","1.121","-0.80%"
"2019년 08월 18일","1.130","1.130","1.130","1.130","0.00%"
"2019년 08월 17일","1.130","1.130","1.130","1.130","0.00%"
"2019년 08월 16일","1.130","1.135","1.135","1.127","-2.75%"
"2019년 08월 15일","1.162","1.162","1.162","1.162","0.00%"
"2019년 08월 14일","1.162","1.165","1.165","1.162","-0.26%"
"2019년 08월 13일","1.165","1.167","1.167","1.165","-1.27%"
"2019년 08월 12일","1.180","1.182","1.182","1.180","-0.59%"
"2019년 08월 11일","1.187","1.187","1.187","1.187","0.00%"
"2019년 08월 10일","1.187","1.187","1.187","1.187","0.00%"
"2019년 08월 09일","1.187","1.187","1.189","1.187","-0.17%"
"2019년 08월 08일","1.189","1.197","1.197","1.189","-0.42%"
"2019년 08월 07일","1.194","1.202","1.202","1.194","-1.00%"
"2019년 08월 06일","1.206","1.212","1.212","1.206","0.00%"
"2019년 08월 05일","1.206","1.212","1.212","1.206","-3.21%"
"2019년 08월 04일","1.246","1.246","1.246","1.246","0.00%"
"2019년 08월 03일","1.246","1.246","1.246","1.246","0.00%"
"2019년 08월 02일","1.246","1.245","1.248","1.245","-2.96%"
"2019년 08월 01일","1.284","1.285","1.288","1.284","-0.16%"
"2019년 07월 31일","1.286","1.285","1.288","1.285","-0.69%"
