"날짜","종가","오픈","고가","저가","변동 %"
"2018년 12월 07일","1.749","1.747","1.749","1.747","-2.13%"
"2018년 12월 06일","1.787","1.787","1.787","1.787","-1.38%"
"2018년 12월 05일","1.812","1.812","1.812","1.812","1.29%"
"2018년 12월 04일","1.789","1.787","1.791","1.787","-0.06%"
"2018년 12월 03일","1.790","1.790","1.792","1.790","0.67%"
"2018년 12월 02일","1.778","1.778","1.778","1.778","0.00%"
"2018년 12월 01일","1.778","1.778","1.778","1.778","0.06%"
"2018년 11월 30일","1.777","1.777","1.777","1.777","1.37%"
"2018년 11월 29일","1.753","1.753","1.753","1.753","-1.57%"
"2018년 11월 28일","1.781","1.777","1.781","1.777","-0.67%"
"2018년 11월 27일","1.793","1.803","1.803","1.793","-1.38%"
"2018년 11월 26일","1.818","1.818","1.818","1.818","-0.55%"
"2018년 11월 25일","1.828","1.828","1.828","1.828","0.00%"
"2018년 11월 24일","1.828","1.828","1.828","1.828","0.00%"
"2018년 11월 23일","1.828","1.825","1.828","1.825","-0.87%"
"2018년 11월 22일","1.844","1.818","1.844","1.818","0.66%"
"2018년 11월 21일","1.832","1.837","1.837","1.832","0.00%"
"2018년 11월 20일","1.832","1.832","1.832","1.832","0.77%"
"2018년 11월 19일","1.818","1.813","1.818","1.813","0.94%"
"2018년 11월 18일","1.801","1.801","1.801","1.801","0.00%"
"2018년 11월 16일","1.801","1.802","1.802","1.801","0.28%"
"2018년 11월 15일","1.796","1.795","1.796","1.795","0.11%"
"2018년 11월 14일","1.794","1.794","1.794","1.794","0.62%"
"2018년 11월 13일","1.783","1.782","1.783","1.782","0.06%"
"2018년 11월 12일","1.782","1.782","1.782","1.782","0.00%"
"2018년 11월 11일","1.782","1.785","1.785","1.782","-0.17%"
"2018년 11월 09일","1.785","1.782","1.785","1.782","-0.78%"
"2018년 11월 08일","1.799","1.790","1.809","1.790","0.22%"
"2018년 11월 07일","1.795","1.800","1.800","1.795","-0.77%"
"2018년 11월 06일","1.809","1.809","1.809","1.809","-0.44%"
"2018년 11월 05일","1.817","1.817","1.817","1.817","-0.22%"
"2018년 11월 04일","1.821","1.821","1.821","1.821","0.00%"
"2018년 11월 03일","1.821","1.821","1.821","1.821","0.00%"
"2018년 11월 02일","1.821","1.822","1.822","1.821","0.72%"
"2018년 11월 01일","1.808","1.807","1.808","1.807","0.44%"
"2018년 10월 31일","1.800","1.800","1.800","1.800","-0.55%"
"2018년 10월 30일","1.810","1.812","1.812","1.809","1.06%"
"2018년 10월 29일","1.791","1.792","1.792","1.791","-2.72%"
"2018년 10월 28일","1.841","1.841","1.841","1.841","0.00%"
"2018년 10월 27일","1.841","1.841","1.841","1.841","0.00%"
"2018년 10월 26일","1.841","1.840","1.841","1.840","-0.54%"
"2018년 10월 25일","1.851","1.810","1.851","1.810","2.04%"
"2018년 10월 24일","1.814","1.810","1.814","1.805","-0.27%"
"2018년 10월 23일","1.819","1.814","1.828","1.814","0.00%"
"2018년 10월 22일","1.819","1.823","1.823","1.819","-0.60%"
"2018년 10월 21일","1.830","1.830","1.830","1.830","0.00%"
"2018년 10월 20일","1.830","1.830","1.830","1.830","-0.38%"
"2018년 10월 19일","1.837","1.837","1.837","1.837","-1.92%"
"2018년 10월 18일","1.873","1.873","1.873","1.873","-0.90%"
"2018년 10월 17일","1.890","1.890","1.890","1.890","0.21%"
"2018년 10월 16일","1.886","1.886","1.886","1.886","1.40%"
"2018년 10월 15일","1.860","1.860","1.860","1.860","0.54%"
"2018년 10월 14일","1.850","1.850","1.850","1.850","0.00%"
"2018년 10월 13일","1.850","1.850","1.850","1.850","0.71%"
"2018년 10월 12일","1.837","1.837","1.837","1.833","-0.70%"
"2018년 10월 11일","1.850","1.819","1.850","1.819","0.11%"
"2018년 10월 10일","1.848","1.855","1.859","1.848","-0.65%"
"2018년 10월 09일","1.860","1.860","1.860","1.860","-1.12%"
"2018년 10월 08일","1.881","1.881","1.881","1.881","0.64%"
"2018년 10월 07일","1.869","1.869","1.869","1.869","0.00%"
"2018년 10월 06일","1.869","1.869","1.869","1.869","-0.16%"
"2018년 10월 05일","1.872","1.872","1.872","1.872","0.00%"
"2018년 10월 04일","1.872","1.872","1.872","1.872","1.52%"
"2018년 10월 03일","1.844","1.844","1.844","1.844","-0.32%"
"2018년 10월 02일","1.850","1.854","1.854","1.850","-0.22%"
"2018년 10월 01일","1.854","1.846","1.854","1.846","0.65%"
"2018년 09월 30일","1.842","1.842","1.842","1.842","0.00%"
"2018년 09월 29일","1.842","1.842","1.842","1.842","0.05%"
"2018년 09월 28일","1.841","1.854","1.859","1.841","0.05%"
"2018년 09월 27일","1.840","1.840","1.840","1.840","0.00%"
"2018년 09월 26일","1.840","1.840","1.840","1.840","0.00%"
"2018년 09월 25일","1.840","1.840","1.840","1.840","0.00%"
"2018년 09월 24일","1.840","1.840","1.840","1.840","0.00%"
"2018년 09월 23일","1.840","1.840","1.840","1.840","0.00%"
"2018년 09월 22일","1.840","1.840","1.840","1.840","-1.29%"
"2018년 09월 21일","1.864","1.858","1.864","1.858","-0.85%"
"2018년 09월 20일","1.880","1.880","1.880","1.880","1.62%"
"2018년 09월 19일","1.850","1.850","1.850","1.850","0.82%"
"2018년 09월 18일","1.835","1.835","1.835","1.835","0.00%"
"2018년 09월 17일","1.835","1.835","1.836","1.835","3.97%"
"2018년 09월 16일","1.765","1.815","1.815","1.765","-2.75%"
"2018년 09월 15일","1.815","1.815","1.815","1.815","0.00%"
"2018년 09월 14일","1.815","1.815","1.815","1.815","1.40%"
"2018년 09월 13일","1.790","1.790","1.790","1.790","1.42%"
"2018년 09월 12일","1.765","1.765","1.765","1.765","-0.90%"
"2018년 09월 11일","1.781","1.785","1.785","1.781","0.28%"
"2018년 09월 10일","1.776","1.777","1.777","1.776","0.28%"
"2018년 09월 09일","1.771","1.771","1.771","1.771","0.00%"
"2018년 09월 08일","1.771","1.771","1.771","1.771","0.00%"
"2018년 09월 07일","1.771","1.772","1.772","1.771","5.48%"
"2018년 09월 06일","1.679","1.680","1.680","1.679","0.54%"
"2018년 09월 05일","1.670","1.670","1.670","1.670","-0.06%"
"2018년 09월 04일","1.671","1.685","1.685","1.670","-0.83%"
"2018년 09월 03일","1.685","1.685","1.685","1.685","-0.12%"
"2018년 09월 02일","1.687","1.687","1.687","1.687","0.00%"
"2018년 09월 01일","1.687","1.687","1.687","1.687","0.00%"
"2018년 08월 31일","1.687","1.692","1.692","1.687","-0.41%"
"2018년 08월 30일","1.694","1.694","1.694","1.694","-0.35%"
"2018년 08월 29일","1.700","1.695","1.701","1.695","-0.12%"
"2018년 08월 28일","1.702","1.702","1.702","1.702","-0.18%"
"2018년 08월 27일","1.705","1.712","1.712","1.705","-0.29%"
"2018년 08월 26일","1.710","1.710","1.710","1.710","0.00%"
"2018년 08월 25일","1.710","1.710","1.710","1.710","0.23%"
"2018년 08월 24일","1.706","1.703","1.706","1.703","-0.81%"
"2018년 08월 23일","1.720","1.720","1.721","1.720","-0.12%"
"2018년 08월 22일","1.722","1.722","1.723","1.722","0.00%"
"2018년 08월 21일","1.722","1.722","1.723","1.722","-1.26%"
"2018년 08월 20일","1.744","1.745","1.745","1.743","-0.11%"
"2018년 08월 19일","1.746","1.746","1.746","1.746","0.00%"
"2018년 08월 18일","1.746","1.746","1.746","1.746","0.00%"
"2018년 08월 17일","1.746","1.750","1.750","1.746","-0.23%"
"2018년 08월 16일","1.750","1.750","1.750","1.750","0.00%"
"2018년 08월 15일","1.750","1.750","1.750","1.750","-0.17%"
"2018년 08월 14일","1.753","1.751","1.753","1.751","0.34%"
"2018년 08월 13일","1.747","1.750","1.750","1.747","0.00%"
"2018년 08월 12일","1.747","1.747","1.747","1.747","0.00%"
"2018년 08월 11일","1.747","1.747","1.747","1.747","0.00%"
"2018년 08월 10일","1.747","1.750","1.750","1.747","-0.11%"
"2018년 08월 09일","1.749","1.750","1.750","1.749","-0.06%"
"2018년 08월 08일","1.750","1.750","1.750","1.750","-0.40%"
"2018년 08월 07일","1.757","1.757","1.757","1.757","-0.79%"
"2018년 08월 06일","1.771","1.771","1.771","1.771","-0.34%"
"2018년 08월 05일","1.777","1.777","1.777","1.777","0.00%"
"2018년 08월 04일","1.777","1.777","1.777","1.777","0.00%"
"2018년 08월 03일","1.777","1.777","1.777","1.777","-0.45%"
"2018년 08월 02일","1.785","1.785","1.785","1.785","-0.39%"
"2018년 08월 01일","1.792","1.795","1.795","1.792","-0.50%"
"2018년 07월 31일","1.801","1.802","1.802","1.801","-0.22%"
"2018년 07월 30일","1.805","1.805","1.805","1.805","0.84%"
"2018년 07월 29일","1.790","1.790","1.790","1.790","0.00%"
"2018년 07월 28일","1.790","1.790","1.790","1.790","0.00%"
"2018년 07월 27일","1.790","1.790","1.790","1.790","0.51%"
"2018년 07월 26일","1.781","1.782","1.782","1.781","-0.72%"
"2018년 07월 25일","1.794","1.795","1.795","1.793","0.00%"
"2018년 07월 24일","1.794","1.792","1.794","1.792","0.00%"
"2018년 07월 23일","1.794","1.795","1.795","1.793","-0.06%"
"2018년 07월 22일","1.795","1.795","1.795","1.795","0.00%"
"2018년 07월 21일","1.795","1.795","1.795","1.795","0.00%"
"2018년 07월 20일","1.795","1.795","1.795","1.795","-0.83%"
"2018년 07월 19일","1.810","1.810","1.810","1.810","-0.28%"
"2018년 07월 18일","1.815","1.815","1.815","1.815","-1.14%"
"2018년 07월 17일","1.836","1.836","1.836","1.836","-0.92%"
"2018년 07월 16일","1.853","1.853","1.853","1.853","0.27%"
"2018년 07월 15일","1.848","1.848","1.848","1.848","0.00%"
"2018년 07월 14일","1.848","1.848","1.848","1.848","0.00%"
"2018년 07월 13일","1.848","1.847","1.848","1.847","0.11%"
"2018년 07월 12일","1.846","1.850","1.850","1.846","2.67%"
"2018년 07월 11일","1.798","1.797","1.798","1.797","-0.83%"
"2018년 07월 10일","1.813","1.812","1.813","1.812","-0.55%"
"2018년 07월 09일","1.823","1.822","1.823","1.822","0.05%"
"2018년 07월 08일","1.822","1.822","1.822","1.822","0.00%"
"2018년 07월 07일","1.822","1.822","1.822","1.822","0.00%"
"2018년 07월 06일","1.822","1.822","1.823","1.822","0.05%"
"2018년 07월 05일","1.821","1.820","1.821","1.820","-0.65%"
"2018년 07월 04일","1.833","1.832","1.833","1.832","-1.19%"
"2018년 07월 03일","1.855","1.855","1.855","1.855","0.54%"
"2018년 07월 02일","1.845","1.845","1.845","1.845","0.00%"
"2018년 07월 01일","1.845","1.845","1.845","1.845","0.00%"
"2018년 06월 30일","1.845","1.845","1.845","1.845","0.00%"
"2018년 06월 29일","1.845","1.845","1.845","1.845","0.00%"
"2018년 06월 28일","1.845","1.845","1.845","1.845","0.05%"
"2018년 06월 27일","1.844","1.845","1.845","1.844","-0.05%"
"2018년 06월 26일","1.845","1.845","1.845","1.845","0.27%"
"2018년 06월 25일","1.840","1.840","1.840","1.840","0.00%"
"2018년 06월 24일","1.840","1.840","1.840","1.840","0.00%"
"2018년 06월 23일","1.840","1.840","1.840","1.840","0.00%"
"2018년 06월 22일","1.840","1.840","1.840","1.840","0.00%"
"2018년 06월 21일","1.840","1.840","1.840","1.840","-0.22%"
"2018년 06월 20일","1.844","1.845","1.845","1.843","0.00%"
"2018년 06월 19일","1.844","1.845","1.845","1.842","-0.11%"
"2018년 06월 18일","1.846","1.845","1.847","1.845","0.00%"
"2018년 06월 17일","1.846","1.846","1.846","1.846","0.00%"
"2018년 06월 16일","1.846","1.846","1.846","1.846","0.00%"
"2018년 06월 15일","1.846","1.845","1.846","1.845","0.11%"
"2018년 06월 14일","1.844","1.845","1.845","1.841","1.04%"
"2018년 06월 13일","1.825","1.825","1.825","1.825","0.00%"
"2018년 06월 12일","1.825","1.825","1.826","1.825","-0.05%"
"2018년 06월 11일","1.826","1.830","1.830","1.826","0.11%"
"2018년 06월 10일","1.824","1.824","1.824","1.824","0.00%"
"2018년 06월 09일","1.824","1.824","1.824","1.824","0.00%"
"2018년 06월 08일","1.824","1.827","1.827","1.824","-0.49%"
"2018년 06월 07일","1.833","1.835","1.835","1.833","-0.05%"
"2018년 06월 06일","1.834","1.834","1.834","1.834","0.00%"
"2018년 06월 05일","1.834","1.835","1.835","1.834","-0.81%"
"2018년 06월 04일","1.849","1.850","1.850","1.849","-0.11%"
"2018년 06월 03일","1.851","1.851","1.851","1.851","0.00%"
"2018년 06월 02일","1.851","1.851","1.851","1.851","0.00%"
"2018년 06월 01일","1.851","1.852","1.852","1.851","-0.54%"
"2018년 05월 31일","1.861","1.860","1.861","1.860","-0.27%"
"2018년 05월 30일","1.866","1.870","1.870","1.866","0.00%"
"2018년 05월 29일","1.866","1.870","1.870","1.866","-0.37%"
"2018년 05월 28일","1.873","1.875","1.875","1.873","0.32%"
"2018년 05월 25일","1.867","1.865","1.867","1.865","0.00%"
"2018년 05월 24일","1.867","1.867","1.867","1.867","-1.27%"
"2018년 05월 23일","1.891","1.891","1.891","1.891","0.32%"
"2018년 05월 21일","1.885","1.885","1.885","1.885","0.16%"
"2018년 05월 20일","1.882","1.882","1.882","1.882","0.00%"
"2018년 05월 18일","1.882","1.882","1.882","1.881","-2.23%"
"2018년 05월 17일","1.925","1.925","1.925","1.925","-1.64%"
"2018년 05월 16일","1.957","1.957","1.957","1.957","-2.35%"
"2018년 05월 15일","2.004","2.004","2.004","2.004","0.80%"
"2018년 05월 14일","1.988","1.987","1.988","1.987","0.76%"
"2018년 05월 11일","1.973","1.972","1.973","1.972","0.61%"
"2018년 05월 10일","1.961","1.962","1.962","1.961","-0.15%"
"2018년 05월 09일","1.964","1.964","1.964","1.964","-0.30%"
"2018년 05월 08일","1.970","1.970","1.970","1.970","2.34%"
"2018년 05월 04일","1.925","1.925","1.925","1.925","1.00%"
"2018년 05월 03일","1.906","1.897","1.906","1.897","0.74%"
"2018년 05월 02일","1.892","1.892","1.892","1.892","0.32%"
"2018년 04월 30일","1.886","1.887","1.887","1.886","-0.21%"
"2018년 04월 28일","1.890","1.890","1.890","1.890","-0.58%"
"2018년 04월 27일","1.901","1.901","1.901","1.901","-0.21%"
"2018년 04월 26일","1.905","1.914","1.914","1.905","-0.94%"
"2018년 04월 25일","1.923","1.913","1.923","1.913","0.73%"
"2018년 04월 24일","1.909","1.909","1.909","1.909","-0.47%"
"2018년 04월 23일","1.918","1.913","1.918","1.909","0.84%"
"2018년 04월 22일","1.902","1.902","1.902","1.902","0.00%"
"2018년 04월 21일","1.902","1.902","1.902","1.902","-0.11%"
"2018년 04월 20일","1.904","1.913","1.913","1.904","0.37%"
"2018년 04월 19일","1.897","1.897","1.897","1.897","-0.32%"
"2018년 04월 18일","1.903","1.903","1.903","1.903","0.26%"
"2018년 04월 17일","1.898","1.897","1.899","1.897","0.16%"
"2018년 04월 16일","1.895","1.895","1.896","1.895","0.00%"
"2018년 04월 14일","1.895","1.895","1.895","1.895","0.05%"
"2018년 04월 13일","1.894","1.900","1.902","1.894","-1.10%"
"2018년 04월 12일","1.915","1.915","1.915","1.915","0.26%"
"2018년 04월 11일","1.910","1.907","1.910","1.907","-0.93%"
"2018년 04월 10일","1.928","1.928","1.928","1.928","0.94%"
"2018년 04월 09일","1.910","1.910","1.910","1.910","0.53%"
"2018년 04월 06일","1.900","1.900","1.900","1.900","-0.26%"
"2018년 04월 05일","1.905","1.905","1.905","1.905","-0.68%"
"2018년 04월 04일","1.918","1.926","1.926","1.918","-0.42%"
"2018년 04월 03일","1.926","1.927","1.927","1.926","-0.93%"
"2018년 04월 02일","1.944","1.942","1.944","1.942","-0.15%"
"2018년 03월 30일","1.947","1.947","1.947","1.947","-0.46%"
"2018년 03월 29일","1.956","1.955","1.956","1.955","-0.56%"
"2018년 03월 28일","1.967","1.967","1.967","1.967","0.15%"
"2018년 03월 27일","1.964","1.965","1.965","1.964","-0.25%"
"2018년 03월 26일","1.969","1.970","1.970","1.969","0.51%"
"2018년 03월 23일","1.959","1.960","1.960","1.958","-1.16%"
"2018년 03월 22일","1.982","1.995","1.995","1.982","-1.25%"
"2018년 03월 21일","2.007","2.007","2.007","2.007","0.10%"
"2018년 03월 20일","2.005","2.005","2.005","2.005","0.00%"
"2018년 03월 19일","2.005","2.005","2.005","2.005","0.05%"
"2018년 03월 16일","2.004","2.002","2.004","2.002","-0.20%"
"2018년 03월 15일","2.008","2.000","2.008","2.000","-0.84%"
"2018년 03월 14일","2.025","2.025","2.025","2.025","0.25%"
"2018년 03월 13일","2.020","2.020","2.020","2.020","-0.25%"
"2018년 03월 12일","2.025","2.025","2.025","2.025","-0.25%"
"2018년 03월 09일","2.030","1.789","2.030","1.789","13.41%"
"2018년 03월 08일","1.790","1.790","1.790","1.790","0.34%"
"2018년 03월 07일","1.784","1.785","1.785","1.783","0.34%"
"2018년 03월 06일","1.778","1.777","1.778","1.777","-0.39%"
"2018년 03월 05일","1.785","1.785","1.785","1.785","0.79%"
"2018년 03월 03일","1.771","1.771","1.771","1.771","1.49%"
"2018년 03월 02일","1.745","1.752","1.752","1.745","-0.91%"
"2018년 03월 01일","1.761","1.761","1.761","1.761","0.00%"
"2018년 02월 28일","1.761","1.762","1.762","1.761","-1.34%"
"2018년 02월 27일","1.785","1.785","1.785","1.785","0.85%"
"2018년 02월 26일","1.770","1.770","1.770","1.770","-0.28%"
"2018년 02월 23일","1.775","1.775","1.775","1.775","-0.22%"
"2018년 02월 22일","1.779","1.777","1.779","1.777","-0.17%"
"2018년 02월 21일","1.782","1.785","1.785","1.782","-0.17%"
"2018년 02월 20일","1.785","1.785","1.785","1.785","0.00%"
"2018년 02월 19일","1.785","1.785","1.785","1.785","0.28%"
"2018년 02월 18일","1.780","1.780","1.780","1.780","0.00%"
"2018년 02월 14일","1.780","1.780","1.780","1.780","-0.34%"
"2018년 02월 13일","1.786","1.787","1.787","1.786","-0.50%"
"2018년 02월 12일","1.795","1.792","1.795","1.792","0.22%"
"2018년 02월 09일","1.791","1.792","1.792","1.791","0.28%"
"2018년 02월 08일","1.786","1.787","1.787","1.786","-0.78%"
"2018년 02월 07일","1.800","1.800","1.800","1.800","0.90%"
"2018년 02월 06일","1.784","1.790","1.790","1.782","-0.34%"
"2018년 02월 05일","1.790","1.788","1.791","1.788","0.11%"
"2018년 02월 02일","1.788","1.790","1.790","1.788","-0.72%"
"2018년 02월 01일","1.801","1.811","1.811","1.801","-0.55%"
"2018년 01월 31일","1.811","1.812","1.812","1.811","-0.39%"
"2018년 01월 30일","1.818","1.818","1.830","1.818","0.00%"
"2018년 01월 29일","1.818","1.815","1.818","1.815","1.85%"
"2018년 01월 26일","1.785","1.785","1.785","1.785","-0.56%"
"2018년 01월 25일","1.795","1.790","1.795","1.790","0.28%"
"2018년 01월 24일","1.790","1.790","1.790","1.790","0.28%"
"2018년 01월 23일","1.785","1.785","1.785","1.785","-0.61%"
"2018년 01월 22일","1.796","1.796","1.796","1.796","0.34%"
"2018년 01월 20일","1.790","1.790","1.790","1.790","-0.67%"
"2018년 01월 19일","1.802","1.802","1.802","1.802","0.39%"
"2018년 01월 18일","1.795","1.795","1.795","1.795","-1.64%"
"2018년 01월 17일","1.825","1.825","1.825","1.825","0.11%"
"2018년 01월 16일","1.823","1.825","1.825","1.823","-0.05%"
"2018년 01월 15일","1.824","1.803","1.825","1.803","1.16%"
"2018년 01월 12일","1.803","1.802","1.803","1.802","2.15%"
"2018년 01월 11일","1.765","1.765","1.765","1.765","-2.70%"
"2018년 01월 10일","1.814","1.819","1.819","1.814","1.34%"
"2018년 01월 09일","1.790","1.790","1.790","1.790","0.06%"
"2018년 01월 08일","1.789","1.790","1.790","1.789","0.51%"
"2018년 01월 06일","1.780","1.780","1.780","1.780","-0.06%"
"2018년 01월 05일","1.781","1.781","1.781","1.781","-1.06%"
"2018년 01월 04일","1.800","1.798","1.800","1.792","0.45%"
"2018년 01월 03일","1.792","1.814","1.814","1.792","-1.32%"
"2018년 01월 02일","1.816","1.815","1.817","1.815","-1.84%"
