"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 11월 18일","1,738.78","1,738.91","1,750.44","1,730.33","-","-0.24%"
"2019년 11월 15일","1,742.93","1,749.70","1,758.26","1,735.42","-","0.89%"
"2019년 11월 14일","1,727.59","1,724.30","1,729.52","1,715.28","-","-0.30%"
"2019년 11월 13일","1,732.86","1,718.25","1,737.94","1,714.90","-","0.03%"
"2019년 11월 12일","1,732.42","1,737.14","1,745.29","1,725.69","-","0.28%"
"2019년 11월 11일","1,727.59","1,722.30","1,731.02","1,714.81","-","-0.53%"
"2019년 11월 08일","1,736.78","1,717.80","1,736.90","1,710.96","-","0.53%"
"2019년 11월 07일","1,727.68","1,740.96","1,745.69","1,719.73","-","0.70%"
"2019년 11월 06일","1,715.67","1,721.46","1,722.20","1,699.49","-","-0.84%"
"2019년 11월 05일","1,730.15","1,729.93","1,742.96","1,723.99","-","0.19%"
"2019년 11월 04일","1,726.92","1,714.86","1,729.69","1,710.68","-","2.19%"
"2019년 11월 01일","1,689.93","1,667.29","1,690.04","1,661.72","-","2.34%"
"2019년 10월 31일","1,651.22","1,652.89","1,653.21","1,630.87","-","-0.62%"
"2019년 10월 30일","1,661.46","1,670.93","1,670.96","1,649.68","-","-0.06%"
"2019년 10월 29일","1,662.46","1,682.12","1,691.16","1,661.15","-","-0.90%"
"2019년 10월 28일","1,677.57","1,662.64","1,679.73","1,662.64","-","1.75%"
"2019년 10월 25일","1,648.67","1,624.67","1,650.20","1,624.59","-","2.05%"
"2019년 10월 24일","1,615.51","1,600.78","1,616.06","1,594.99","-","2.47%"
"2019년 10월 23일","1,576.58","1,576.29","1,590.77","1,566.46","-","-1.93%"
"2019년 10월 22일","1,607.60","1,622.59","1,626.43","1,607.00","-","-0.77%"
"2019년 10월 21일","1,620.04","1,606.13","1,620.83","1,601.03","-","1.88%"
"2019년 10월 18일","1,590.09","1,601.90","1,608.25","1,575.29","-","-1.06%"
"2019년 10월 17일","1,607.16","1,620.67","1,625.59","1,598.01","-","0.34%"
"2019년 10월 16일","1,601.79","1,613.72","1,624.96","1,599.04","-","-1.47%"
"2019년 10월 15일","1,625.69","1,600.72","1,629.53","1,598.50","-","2.22%"
"2019년 10월 14일","1,590.40","1,588.71","1,594.14","1,583.18","-","-0.05%"
"2019년 10월 11일","1,591.13","1,587.99","1,609.47","1,584.15","-","2.27%"
"2019년 10월 10일","1,555.79","1,546.04","1,571.40","1,545.11","-","0.97%"
"2019년 10월 09일","1,540.85","1,537.33","1,550.35","1,532.03","-","1.74%"
"2019년 10월 08일","1,514.45","1,545.27","1,546.80","1,514.22","-","-3.12%"
"2019년 10월 07일","1,563.17","1,572.69","1,579.16","1,562.83","-","-0.71%"
"2019년 10월 04일","1,574.39","1,555.84","1,575.12","1,551.73","-","1.85%"
"2019년 10월 03일","1,545.76","1,522.27","1,547.32","1,502.73","-","1.71%"
"2019년 10월 02일","1,519.77","1,529.20","1,534.66","1,510.53","-","-1.58%"
"2019년 10월 01일","1,544.20","1,572.15","1,587.97","1,538.96","-","-0.93%"
"2019년 09월 30일","1,558.75","1,550.59","1,560.24","1,543.55","-","1.03%"
"2019년 09월 27일","1,542.87","1,568.13","1,575.18","1,531.71","-","-2.36%"
"2019년 09월 26일","1,580.10","1,580.42","1,585.38","1,565.57","-","0.03%"
"2019년 09월 25일","1,579.56","1,542.50","1,584.16","1,532.41","-","1.78%"
"2019년 09월 24일","1,551.99","1,586.68","1,590.22","1,544.99","-","-1.65%"
"2019년 09월 23일","1,578.09","1,563.10","1,586.47","1,563.10","-","0.97%"
"2019년 09월 20일","1,563.00","1,591.85","1,592.19","1,556.97","-","-1.83%"
"2019년 09월 19일","1,592.07","1,605.13","1,608.31","1,590.49","-","-0.55%"
"2019년 09월 18일","1,600.95","1,598.25","1,601.45","1,578.86","-","0.08%"
"2019년 09월 17일","1,599.74","1,591.08","1,600.86","1,582.50","-","0.33%"
"2019년 09월 16일","1,594.49","1,586.58","1,601.93","1,580.96","-","-0.70%"
"2019년 09월 13일","1,605.65","1,610.65","1,613.77","1,598.21","-","-0.32%"
"2019년 09월 12일","1,610.79","1,615.98","1,625.16","1,599.87","-","0.29%"
"2019년 09월 11일","1,606.19","1,587.62","1,606.24","1,580.22","-","1.46%"
"2019년 09월 10일","1,583.15","1,568.89","1,583.22","1,558.06","-","0.43%"
"2019년 09월 09일","1,576.39","1,578.69","1,588.81","1,569.72","-","0.51%"
"2019년 09월 06일","1,568.34","1,567.79","1,573.99","1,558.88","-","0.14%"
"2019년 09월 05일","1,566.21","1,552.77","1,583.74","1,552.77","-","3.07%"
"2019년 09월 04일","1,519.55","1,504.00","1,519.70","1,503.49","-","2.79%"
