"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 11월 04일","1,541.60","1,544.80","1,544.80","1,541.00","0.83K","0.02%"
"2019년 11월 01일","1,541.30","1,542.10","1,545.00","1,538.00","0.20K","-0.17%"
"2019년 10월 31일","1,544.00","1,527.00","1,545.00","1,527.00","0.17K","1.15%"
"2019년 10월 30일","1,526.50","1,520.80","1,526.50","1,513.20","1.90K","0.39%"
"2019년 10월 29일","1,520.60","1,524.20","1,524.20","1,515.50","0.22K","-0.34%"
"2019년 10월 28일","1,525.80","1,535.70","1,536.20","1,523.50","0.16K","-0.61%"
"2019년 10월 25일","1,535.10","1,537.50","1,549.90","1,535.00","0.07K","0.08%"
"2019년 10월 24일","1,533.90","1,524.30","1,534.70","1,522.00","0.28K","0.59%"
"2019년 10월 23일","1,524.90","1,522.00","1,526.10","1,522.00","0.03K","0.55%"
"2019년 10월 22일","1,516.60","1,517.30","1,519.00","1,515.00","0.01K","-0.05%"
"2019년 10월 21일","1,517.30","1,524.90","1,524.90","1,515.00","0.11K","-0.37%"
"2019년 10월 18일","1,523.00","1,526.10","1,526.10","1,519.50","0.16K","-0.31%"
"2019년 10월 17일","1,527.80","1,519.90","1,527.60","1,519.90","0.21K","0.29%"
"2019년 10월 16일","1,523.40","1,515.50","1,522.20","1,510.00","0.20K","0.68%"
"2019년 10월 15일","1,513.10","1,522.90","1,524.50","1,513.00","0.23K","-0.92%"
"2019년 10월 14일","1,527.10","1,529.00","1,530.00","1,524.40","0.03K","0.61%"
"2019년 10월 11일","1,517.80","1,533.70","1,534.60","1,508.00","1.04K","-0.78%"
"2019년 10월 10일","1,529.70","1,548.00","1,548.00","1,526.00","0.13K","-0.74%"
"2019년 10월 09일","1,541.10","1,539.70","1,543.00","1,535.00","0.43K","0.60%"
"2019년 10월 08일","1,531.90","1,524.20","1,540.00","1,522.60","0.43K","-0.04%"
"2019년 10월 07일","1,532.50","1,538.90","1,538.90","1,522.20","0.16K","-0.53%"
"2019년 10월 04일","1,540.70","1,541.30","1,541.30","1,530.20","0.07K","-0.04%"
"2019년 10월 03일","1,541.30","1,536.80","1,551.80","1,535.20","0.45K","0.29%"
"2019년 10월 02일","1,536.80","1,512.80","1,536.30","1,509.90","0.34K","1.24%"
"2019년 10월 01일","1,518.00","1,502.60","1,520.00","1,499.00","0.22K","1.05%"
"2019년 09월 30일","1,502.30","1,533.00","1,533.00","1,500.10","0.51K","-2.20%"
"2019년 09월 27일","1,536.10","1,538.30","1,538.30","1,525.70","0.17K","-0.58%"
"2019년 09월 26일","1,545.00","1,538.90","1,547.00","1,538.00","0.25K","0.19%"
"2019년 09월 25일","1,542.00","1,572.00","1,572.00","1,539.10","0.25K","-1.79%"
"2019년 09월 24일","1,570.10","1,560.10","1,573.00","1,554.90","0.51K","0.54%"
"2019년 09월 23일","1,561.60","1,556.60","1,562.50","1,556.60","0.02K","1.05%"
"2019년 09월 20일","1,545.30","1,537.80","1,553.50","1,537.80","0.10K","0.58%"
"2019년 09월 19일","1,536.40","1,528.80","1,540.40","1,528.80","0.16K","-0.63%"
"2019년 09월 18일","1,546.10","1,538.90","1,549.00","1,530.40","0.50K","0.13%"
"2019년 09월 17일","1,544.10","1,538.80","1,542.30","1,538.80","0.01K","0.12%"
"2019년 09월 16일","1,542.30","1,542.60","1,546.50","1,536.40","0.69K","0.76%"
"2019년 09월 13일","1,530.70","1,543.40","1,543.40","1,525.60","0.18K","-0.46%"
"2019년 09월 12일","1,537.80","1,530.40","1,558.60","1,530.40","0.41K","0.35%"
"2019년 09월 11일","1,532.40","1,528.80","1,534.40","1,528.80","0.04K","0.28%"
"2019년 09월 10일","1,528.10","1,531.90","1,532.60","1,524.90","0.16K","-0.75%"
"2019년 09월 09일","1,539.60","1,540.10","1,546.60","1,534.10","0.24K","-0.24%"
"2019년 09월 06일","1,543.30","1,551.00","1,559.90","1,539.20","0.06K","-0.62%"
"2019년 09월 05일","1,552.90","1,579.50","1,584.10","1,544.90","0.10K","-2.17%"
"2019년 09월 04일","1,587.40","1,582.70","1,590.70","1,572.00","0.34K","0.27%"
"2019년 09월 03일","1,583.20","1,562.80","1,583.90","1,561.20","0.24K","3.13%"
"2019년 09월 02일","1,535.15","1,537.95","1,540.05","1,528.15","-","-0.19%"
"2019년 09월 01일","1,538.05","1,535.25","1,542.90","1,535.25","-","-1.23%"
"2019년 08월 30일","1,557.20","1,564.10","1,566.90","1,555.00","0.45K","-0.43%"
"2019년 08월 29일","1,564.00","1,571.90","1,578.80","1,562.00","0.25K","-0.72%"
"2019년 08월 28일","1,575.30","1,572.30","1,578.00","1,571.60","0.24K","-0.17%"
"2019년 08월 27일","1,578.00","1,566.20","1,579.30","1,564.60","0.17K","0.95%"
"2019년 08월 26일","1,563.10","1,584.50","1,584.50","1,563.20","0.07K","-0.03%"
"2019년 08월 23일","1,563.50","1,539.00","1,563.50","1,537.30","0.26K","1.90%"
"2019년 08월 22일","1,534.40","1,534.30","1,538.80","1,530.50","0.25K","-0.46%"
"2019년 08월 21일","1,541.50","1,532.70","1,540.60","1,532.70","0.56K","0.01%"
"2019년 08월 20일","1,541.30","1,530.20","1,540.70","1,530.20","0.17K","0.27%"
"2019년 08월 19일","1,537.20","1,543.90","1,543.90","1,531.00","0.35K","-0.77%"
"2019년 08월 16일","1,549.20","1,557.40","1,557.70","1,541.30","0.16K","-0.48%"
"2019년 08월 15일","1,556.70","1,553.00","1,561.20","1,546.00","0.29K","0.17%"
"2019년 08월 14일","1,554.00","1,538.50","1,553.10","1,532.60","0.24K","0.86%"
"2019년 08월 13일","1,540.70","1,556.20","1,571.70","1,523.10","0.07K","-0.15%"
"2019년 08월 12일","1,543.00","1,536.00","1,550.10","1,526.40","0.16K","0.55%"
